,__Countries,__Total_Recovered,__Total_cases,__Total_Deaths,__Active_Cases,__New_Cases
0,USA,"1,373,435","3,128,080","134,420","1,620,225","+30,996"
1,Brazil,"1,117,922","1,683,738","67,113","498,703","+9,083"
2,India,"476,550","769,041","21,144","271,347","+25,560"
3,Russia,"472,511","700,792","10,667","217,614","+6,562"
4,Peru,"200,938","309,278","10,952","97,388",0
5,Chile,"271,703","303,083","6,573","24,807","+2,064"
6,Spain,0,"299,593","28,396",0,+383
7,UK,0,"286,979","44,517",0,+630
8,Mexico,"163,646","268,008","32,014","72,348","+6,258"
9,Iran,"209,463","248,379","12,084","26,832","+2,691"
10,Italy,"193,640","242,149","34,914","13,595",+193
11,Pakistan,"140,965","237,489","4,922","91,602","+2,980"
12,Saudi Arabia,"158,050","220,144","2,059","60,035","+3,036"
13,South Africa,"102,299","215,855","3,502","110,054",0
14,Turkey,"187,511","208,938","5,282","16,145","+1,041"
15,Germany,"182,700","198,705","9,111","6,894",+350
16,Bangladesh,"80,838","172,134","2,197","89,099","+3,489"
17,France,"77,985","169,473","29,965","61,523",+663
18,Colombia,"51,861","124,494","4,359","68,274",0
19,Canada,"70,161","106,367","8,733","27,473",+200
20,Qatar,"96,107","101,553",138,"5,308",+608
21,China,"78,548","83,572","4,634",390,+7
22,Argentina,"36,502","83,426","1,654","45,270",0
23,Egypt,"21,718","77,279","3,489","52,072",0
24,Sweden,0,"73,858","5,482",0,+302
25,Indonesia,"31,585","68,079","3,359","33,135","+1,853"
26,Iraq,"37,879","67,442","2,779","26,784","+2,741"
27,Belarus,"52,854","64,224",443,"10,927",+221
28,Ecuador,"29,071","63,245","4,873","29,301",0
29,Belgium,"17,138","62,123","9,776","35,209",+65
30,UAE,"42,282","53,045",327,"10,436",+445
31,Kuwait,"42,108","52,007",379,"9,520",+762
32,Kazakhstan,"34,149","51,059",264,"16,646","+1,376"
33,Netherlands,0,"50,746","6,135",0,+52
34,Ukraine,"23,119","50,414","1,306","25,989",+807
35,Philippines,"12,588","50,359","1,314","36,457","+2,486"
36,Oman,"32,005","50,207",233,"17,969","+1,210"
37,Singapore,"41,323","45,298",26,"3,949",+158
38,Portugal,"29,714","44,859","1,631","13,514",+443
39,Bolivia,"12,398","41,545","1,530","27,617","+1,036"
40,Panama,"18,726","40,291",799,"20,766",0
41,Dominican Republic,"20,056","39,588",829,"18,703","+1,158"
42,Poland,"24,878","36,689","1,542","10,269",+277
43,Afghanistan,"20,700","33,594",936,"11,958",+210
44,Israel,"18,315","33,175",344,"14,516",+953
45,Switzerland,"29,400","32,498","1,966","1,132",+129
46,Bahrain,"25,570","30,321",98,"4,653",0
47,Romania,"20,799","30,175","1,817","7,559",+555
48,Armenia,"17,427","29,820",521,"11,872",+535
49,Nigeria,"12,108","29,789",669,"17,012",0
50,Ireland,"23,364","25,538","1,742",432,0
51,Honduras,"2,637","25,428",677,"22,114",+763
52,Guatemala,"3,575","24,787","1,004","20,208",0
53,Ghana,"17,156","21,968",129,"4,683",0
54,Azerbaijan,"13,100","21,916",274,"8,542",+542
55,Japan,"17,197","19,981",978,"1,806",0
56,Austria,"16,721","18,513",706,"1,086",+92
57,Moldova,"11,549","18,471",614,"6,308",+330
58,Algeria,"12,329","17,348",978,"4,041",+469
59,Serbia,"13,366","17,076",341,"3,369",+357
60,Nepal,"7,752","16,423",35,"8,636",+255
61,Cameroon,"11,525","14,916",359,"3,032",0
62,Morocco,"11,316","14,771",242,"3,213",+164
63,S. Korea,"11,970","13,244",285,989,+63
64,Denmark,"12,001","12,900",609,290,+12
65,Czechia,"8,005","12,775",351,"4,419",+90
66,Ivory Coast,"5,487","11,194",76,"5,631",0
67,Uzbekistan,"7,060","11,092",45,"3,987",+422
68,Sudan,"5,074","10,084",636,"4,374",+87
69,Norway,"8,138","8,950",251,561,+3
70,Australia,"7,487","8,886",106,"1,293",+131
71,Malaysia,"8,486","8,677",121,70,+3
72,El Salvador,"5,133","8,566",235,"3,198",+259
73,Kenya,"2,593","8,528",169,"5,766",+278
74,Kyrgyzstan,"2,983","8,486",112,"5,391",+345
75,Venezuela,"2,100","7,693",71,"5,522",0
76,Senegal,"5,097","7,657",141,"2,419",+110
77,DRC,"3,226","7,432",182,"4,024",0
78,North Macedonia,"3,554","7,406",359,"3,493",+162
79,Finland,"6,800","7,265",329,136,+3
80,Haiti,"2,080","6,432",117,"4,235",+61
81,Tajikistan,"5,011","6,364",54,"1,299",+49
82,Bulgaria,"3,037","6,102",254,"2,811",0
83,Bosnia and Herzegovina,"2,769","5,869",209,"2,891",+248
84,Ethiopia,"2,430","5,846",103,"3,313",0
85,Gabon,"2,574","5,743",46,"3,123",0
86,Guinea,"4,577","5,697",34,"1,086",+61
87,Costa Rica,"1,810","5,486",23,"3,653",0
88,French Guiana,"2,349","5,459",22,"3,088",+281
89,Mauritania,"1,994","5,087",139,"2,954",+63
90,Palestine,494,"5,029",19,"4,516",+382
91,Djibouti,"4,644","4,889",55,190,+11
92,Luxembourg,"4,056","4,650",110,484,+47
93,Hungary,"2,885","4,210",589,736,+5
94,CAR,"1,050","4,109",52,"3,007",+38
95,Greece,"1,374","3,622",193,"2,055",+33
96,Madagascar,"1,761","3,573",33,"1,779",+101
97,Croatia,"2,277","3,325",114,934,+53
98,Thailand,"3,074","3,197",58,65,+2
99,Albania,"1,791","3,106",83,"1,232",+68
100,Equatorial Guinea,842,"3,071",51,"2,178",0
101,Somalia,"1,147","3,028",92,"1,789",+13
102,Nicaragua,"1,993","2,846",91,762,0
103,Mayotte,"2,446","2,688",34,208,0
104,Maldives,"2,180","2,517",13,324,+16
105,Paraguay,"1,193","2,502",20,"1,289",0
106,Cuba,"2,242","2,399",86,71,+4
107,Mali,"1,597","2,358",120,641,+10
108,Sri Lanka,"1,967","2,094",11,116,+13
109,South Sudan,333,"2,021",38,"1,650",0
110,Estonia,"1,882","2,003",69,52,+8
111,Lebanon,"1,368","1,946",36,542,+39
112,Zambia,"1,348","1,895",42,505,0
113,Iceland,"1,850","1,880",10,20,+7
114,Malawi,345,"1,864",24,"1,495",+46
115,Lithuania,"1,552","1,854",79,223,+10
116,Congo,525,"1,821",47,"1,249",+264
117,Slovakia,"1,473","1,798",28,297,+31
118,Guinea-Bissau,760,"1,790",25,"1,005",0
119,Slovenia,"1,429","1,763",111,223,+24
120,Sierra Leone,"1,122","1,584",63,399,+12
121,New Zealand,"1,492","1,537",22,23,+1
122,Cabo Verde,724,"1,499",18,757,0
123,Hong Kong,"1,167","1,324",7,150,+24
124,Yemen,595,"1,318",351,372,+21
125,Tunisia,"1,050","1,221",50,121,+16
126,Benin,333,"1,199",21,845,0
127,Libya,295,"1,182",35,852,0
128,Rwanda,595,"1,172",3,574,0
129,Jordan,977,"1,169",10,182,0
130,Latvia,"1,008","1,141",30,103,+7
131,Eswatini,588,"1,138",14,536,+82
132,Niger,974,"1,094",68,52,0
133,Mozambique,337,"1,071",8,726,+31
134,Cyprus,839,"1,008",19,150,+3
135,Burkina Faso,861,"1,003",53,89,0
136,Uganda,904,977,0,73,+6
137,Uruguay,865,965,29,71,0
138,Georgia,841,963,15,107,+5
139,Montenegro,320,960,17,623,+53
140,Liberia,395,926,41,490,+9
141,Chad,788,873,74,11,0
142,Andorra,800,855,52,3,0
143,Zimbabwe,201,787,9,577,0
144,Jamaica,599,745,10,136,+8
145,Sao Tome and Principe,279,724,13,432,0
146,Diamond Princess,651,712,13,48,0
147,San Marino,656,698,42,0,0
148,Togo,467,689,15,207,0
149,Malta,654,673,9,10,0
150,Suriname,405,634,15,214,0
151,Namibia,25,593,0,568,+54
152,Channel Islands,512,577,47,18,0
153,Réunion,472,563,3,88,+12
154,Tanzania,183,509,21,305,0
155,Taiwan,438,449,7,4,0
156,Angola,117,386,21,248,0
157,Syria,126,372,14,232,0
158,Vietnam,347,369,0,22,0
159,Mauritius,330,342,10,2,0
160,Isle of Man,312,336,24,0,0
161,Myanmar,250,317,6,61,+1
162,Botswana,31,314,1,282,0
163,Comoros,272,313,7,34,+2
164,Guyana,125,284,16,143,0
165,Martinique,98,249,14,137,0
166,Mongolia,195,227,0,32,+2
167,Eritrea,56,215,0,159,0
168,Cayman Islands,194,201,1,6,0
169,Burundi,118,191,1,72,0
170,Faeroe Islands,188,188,0,0,0
171,Guadeloupe,157,184,14,13,0
172,Gibraltar,176,179,0,3,0
173,Bermuda,137,148,9,2,0
174,Brunei,138,141,3,0,0
175,Cambodia,131,141,0,10,0
176,Trinidad and Tobago,117,133,8,8,0
177,Monaco,95,108,4,9,0
178,Aruba,98,105,3,4,0
179,Bahamas,89,104,11,4,0
180,Barbados,90,98,7,1,0
181,Lesotho,11,91,0,80,0
182,Seychelles,11,91,0,80,+10
183,Liechtenstein,81,84,1,2,0
184,Bhutan,55,80,0,25,0
185,Sint Maarten,63,78,15,0,0
186,Antigua and Barbuda,23,70,3,44,0
187,French Polynesia,60,62,0,2,0
188,Gambia,27,61,3,31,0
189,Turks and Caicos,11,55,2,42,+6
190,Macao,45,46,0,1,0
191,Saint Martin,37,43,3,3,0
192,Belize,19,30,2,9,0
193,St. Vincent Grenadines,29,29,0,0,0
194,Timor-Leste,24,24,0,0,0
195,Curaçao,19,23,1,3,0
196,Grenada,23,23,0,0,0
197,Saint Lucia,19,22,0,3,0
198,Fiji,18,21,0,3,0
199,New Caledonia,21,21,0,0,0
200,Laos,19,19,0,0,0
201,Dominica,18,18,0,0,0
202,Saint Kitts and Nevis,15,16,0,1,0
203,Falkland Islands,13,13,0,0,0
204,Greenland,13,13,0,0,0
205,Vatican City,12,12,0,0,0
206,Montserrat,10,11,1,0,0
207,Papua New Guinea,8,11,0,3,0
208,Western Sahara,8,10,1,1,0
209,MS Zaandam,0,9,2,7,0
210,British Virgin Islands,7,8,1,0,0
211,Caribbean Netherlands,7,7,0,0,0
212,St. Barth,6,6,0,0,0
213,Anguilla,3,3,0,0,0
214,Saint Pierre Miquelon,1,1,0,0,0
